douban_film_id,title,page_number,rank_within_list,douban_rating,douban_votes,friend_rating,friend_rating_count,imdb_id
1292288,公民凯恩 Citizen Kane,1,1,8.8,127985,9.1,79,tt0033467
1297294,迷魂记 Vertigo,1,2,8.7,155015,9.1,80,tt0052357
1292226,2001太空漫游 2001: A Space Odyssey,1,3,8.9,375441,9.6,104,tt0062622
1291568,东京物语 東京物語,1,4,9.1,151415,9.5,80,tt0046438
1401261,游戏规则 La Règle du jeu,1,5,8.4,15580,8.8,41,tt0031885
1291841,教父 The Godfather,1,6,9.3,1061181,9.4,96,tt0068646
1361276,八部半 8½,1,7,8.6,71751,9.0,77,tt0056801
1295753,日出 Sunrise: A Song of Two Humans,1,8,8.7,19346,9.5,32,tt0018455
1292668,搜索者 The Searchers,1,9,7.8,11120,8.0,32,tt0049730
1295399,七武士 七人の侍,1,10,9.3,222345,9.5,73,tt0047478
1293460,雨中曲 Singin' in the Rain,1,11,9.1,255916,9.1,78,tt0045152
1868933,"让娜·迪尔曼 Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1,12,8.9,15788,9.5,50,tt0073198
1292260,现代启示录 Apocalypse Now,1,13,8.5,122764,9.6,73,tt0078788
1295873,偷自行车的人 Ladri di biciclette,1,14,9.1,117218,9.4,78,tt0040522
1292222,出租车司机 Taxi Driver,1,15,8.6,240990,9.0,97,tt0075314
1294438,假面 Persona,1,16,8.8,39889,9.3,49,tt0060827
1291557,花样年华 花樣年華,1,17,8.8,760021,9.1,125,tt0118694
1353745,精疲力尽 À bout de souffle,1,18,8.4,80905,8.6,87,tt0053472
1293783,圣女贞德蒙难记 La Passion de Jeanne d'Arc,1,19,8.7,16954,9.5,26,tt0019254
1299433,亚特兰大号 L'Atalante,1,20,8.1,7224,8.5,36,tt0024844
1293492,战舰波将金号 Броненосец Потёмкин,1,21,8.7,33345,8.7,41,tt0015648
1293199,持摄影机的人 Человек с Киноаппаратом,1,22,9.1,19602,9.5,42,tt0019760
1299248,镜子 Зеркало,1,23,9.0,50627,9.4,59,tt0072443
1291879,罗生门 羅生門,1,24,8.8,345631,9.0,87,tt0042876
1293908,城市之光 City Lights,1,25,9.3,164489,9.6,54,tt0021749
1293181,惊魂记 Psycho,2,26,9.0,338312,9.4,92,tt0054215
1300056,四百击 Les quatre cents coups,2,27,8.9,133378,9.0,91,tt0053198
1298248,安德烈·卢布廖夫 Андрей Рублёв,2,28,9.0,20261,9.2,36,tt0060107
1401619,驴子巴特萨 Au hasard Balthazar,2,29,8.3,10506,8.4,37,tt0060138
1292217,穆赫兰道 Mulholland Dr.,2,30,8.4,482485,9.0,97,tt0166924
1292574,热情如火 Some Like It Hot,2,31,8.9,78032,8.9,60,tt0053291
1303566,词语 Ordet,2,32,8.4,5517,8.4,25,tt0048452
1299131,教父2 The Godfather: Part II,2,33,9.3,610858,9.2,77,tt0071562
1293271,甜蜜的生活 La dolce vita,2,34,8.6,37774,9.4,77,tt0053779
1293155,愤怒的公牛 Raging Bull,2,35,8.4,62922,8.8,67,tt0081398
1293582,猎人之夜 The Night of the Hunter,2,36,8.0,11463,8.2,32,tt0048424
1389923,奇遇 L'avventura,2,37,8.2,18943,8.3,58,tt0053619
1296753,卡萨布兰卡 Casablanca,2,38,8.7,236120,8.5,74,tt0034583
1291839,银翼杀手 Blade Runner,2,39,8.6,291436,8.9,100,tt0083658
1299080,后窗 Rear Window,2,40,8.7,225021,8.7,87,tt0047396
1294756,历劫佳人 Touch of Evil,2,41,8.0,12115,8.4,37,tt0052311
1303543,玩乐时间 Play Time,2,42,8.8,34583,9.4,54,tt0062136
1298733,日落大道 Sunset Blvd.,2,43,8.8,73529,9.1,65,tt0043014
1292472,巴里·林登 Barry Lyndon,2,44,8.8,48738,9.1,59,tt0072684
1303555,蔑视 Le mépris,2,45,7.7,13224,8.4,42,tt0057345
1306019,大地之歌 পথের পাঁচালী,2,46,8.9,12127,8.3,46,tt0048473
1303521,特写 کلوزآپ,2,47,8.9,25867,9.1,69,tt0100234
1295656,潜行者 Сталкер,2,48,8.8,39862,8.9,60,tt0079944
1292349,阿拉伯的劳伦斯 Lawrence of Arabia,2,49,8.7,59433,8.8,52,tt0056172
1292778,将军号 The General,2,50,9.1,33846,9.3,49,tt0017925
1294371,摩登时代 Modern Times,3,51,9.3,332632,9.3,66,tt0027977
1306791,军中禁恋 Beau travail,3,52,7.5,5663,8.1,33,tt0209933
1394218,桃色公寓 The Apartment,3,53,8.8,59541,9.3,55,tt0053604
1295451,第三人 The Third Man,3,54,8.2,25866,8.6,42,tt0041959
1293381,M就是凶手 M - Eine Stadt sucht einen Mörder,3,55,8.2,32544,8.9,43,tt0022100
1307265,晚春 晩春,3,56,8.6,28637,8.8,51,tt0041154
1295872,西北偏北 North by Northwest,3,57,8.3,120350,8.1,70,tt0053125
1303577,雨月物语 雨月物語,3,58,8.6,31061,9.3,43,tt0046478
1419005,阿尔及尔之战 La battaglia di Algeri,3,59,8.6,10895,8.4,37,tt0058946
1292268,好家伙 GoodFellas,3,60,8.5,132776,8.6,60,tt0099685
1294808,大幻影 La grande illusion,3,61,8.4,12890,8.7,32,tt0028950
1293071,野草莓 Smultronstället,3,62,8.8,83991,8.9,60,tt0050986
1298497,赤胆屠龙 Rio Bravo,3,63,8.1,5916,8.6,25,tt0053221
1292784,芬妮与亚历山大 Fanny och Alexander,3,64,8.7,21560,8.9,47,tt0083922
1303328,浩劫 Shoah,3,65,8.9,2468,8.7,12,tt0090015
1322848,奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,3,66,8.9,112698,8.9,75,tt0057012
1293394,西部往事 C'era una volta il West,3,67,8.7,62054,9.1,52,tt0064116
1292533,狂人皮埃罗 Pierrot le fou,3,68,8.4,49626,8.8,63,tt0059592
1303576,游览意大利 Viaggio in Italia,3,69,7.8,3880,8.5,22,tt0046511
1293889,唐人街 Chinatown,3,70,8.4,70531,8.8,67,tt0071315
1293958,为所应为 Do the Right Thing,3,71,8.2,17141,8.8,54,tt0097216
1298107,大都会 Metropolis,3,72,9.1,56907,9.3,53,tt0017136
1293525,醉酒的女人 A Woman Under the Influence,3,73,8.3,4742,9.1,19,tt0072417
1292719,大路 La strada,3,74,8.9,50785,8.8,70,tt0047528
1293146,豹 Il gattopardo,3,75,8.7,18611,8.3,46,tt0057091
1300375,天堂的孩子 Les enfants du paradis,4,76,8.5,6205,9.3,19,tt0037674
1298672,阿玛柯德 Amarcord,4,77,8.7,19213,8.9,50,tt0071129
