douban_film_id,title,page_number,rank_within_list
1292288,公民凯恩 Citizen Kane,1,1
1297294,迷魂记 Vertigo,1,2
1292226,2001太空漫游 2001: A Space Odyssey,1,3
1291568,东京物语 東京物語,1,4
1401261,游戏规则 La Règle du jeu,1,5
1291841,教父 The Godfather,1,6
1361276,八部半 8½,1,7
1295753,日出 Sunrise: A Song of Two Humans,1,8
1292668,搜索者 The Searchers,1,9
1295399,七武士 七人の侍,1,10
1293460,雨中曲 Singin' in the Rain,1,11
1868933,"让娜·迪尔曼 Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1,12
1292260,现代启示录 Apocalypse Now,1,13
1295873,偷自行车的人 Ladri di biciclette,1,14
1292222,出租车司机 Taxi Driver,1,15
1294438,假面 Persona,1,16
1291557,花样年华 花樣年華,1,17
1353745,精疲力尽 À bout de souffle,1,18
1293783,圣女贞德蒙难记 La Passion de Jeanne d'Arc,1,19
1299433,亚特兰大号 L'Atalante,1,20
1293492,战舰波将金号 Броненосец Потёмкин,1,21
1293199,持摄影机的人 Человек с Киноаппаратом,1,22
1299248,镜子 Зеркало,1,23
1291879,罗生门 羅生門,1,24
1293908,城市之光 City Lights,1,25
1293181,惊魂记 Psycho,2,26
1300056,四百击 Les quatre cents coups,2,27
1298248,安德烈·卢布廖夫 Андрей Рублёв,2,28
1401619,驴子巴特萨 Au hasard Balthazar,2,29
1292217,穆赫兰道 Mulholland Dr.,2,30
1292574,热情如火 Some Like It Hot,2,31
1303566,词语 Ordet,2,32
1299131,教父2 The Godfather: Part II,2,33
1293271,甜蜜的生活 La dolce vita,2,34
1293155,愤怒的公牛 Raging Bull,2,35
1293582,猎人之夜 The Night of the Hunter,2,36
1389923,奇遇 L'avventura,2,37
1296753,卡萨布兰卡 Casablanca,2,38
1291839,银翼杀手 Blade Runner,2,39
1299080,后窗 Rear Window,2,40
1294756,历劫佳人 Touch of Evil,2,41
1303543,玩乐时间 Play Time,2,42
1298733,日落大道 Sunset Blvd.,2,43
1292472,巴里·林登 Barry Lyndon,2,44
1303555,蔑视 Le mépris,2,45
1306019,大地之歌 পথের পাঁচালী,2,46
1303521,特写 کلوزآپ,2,47
1295656,潜行者 Сталкер,2,48
1292349,阿拉伯的劳伦斯 Lawrence of Arabia,2,49
1292778,将军号 The General,2,50
1294371,摩登时代 Modern Times,3,51
1306791,军中禁恋 Beau travail,3,52
1394218,桃色公寓 The Apartment,3,53
1295451,第三人 The Third Man,3,54
1293381,M就是凶手 M - Eine Stadt sucht einen Mörder,3,55
1307265,晚春 晩春,3,56
1295872,西北偏北 North by Northwest,3,57
1303577,雨月物语 雨月物語,3,58
1419005,阿尔及尔之战 La battaglia di Algeri,3,59
1292268,好家伙 GoodFellas,3,60
1294808,大幻影 La grande illusion,3,61
1293071,野草莓 Smultronstället,3,62
1298497,赤胆屠龙 Rio Bravo,3,63
1292784,芬妮与亚历山大 Fanny och Alexander,3,64
1303328,浩劫 Shoah,3,65
1322848,奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,3,66
1293394,西部往事 C'era una volta il West,3,67
1292533,狂人皮埃罗 Pierrot le fou,3,68
1303576,游览意大利 Viaggio in Italia,3,69
1293889,唐人街 Chinatown,3,70
1293958,为所应为 Do the Right Thing,3,71
1298107,大都会 Metropolis,3,72
1293525,醉酒的女人 A Woman Under the Influence,3,73
1292719,大路 La strada,3,74
1293146,豹 Il gattopardo,3,75
1300375,天堂的孩子 Les enfants du paradis,4,76
1298672,阿玛柯德 Amarcord,4,77
1291832,低俗小说 Pulp Fiction,4,78
1296963,日落黄沙 The Wild Bunch,4,79
1303557,维莉蒂安娜 Viridiana,4,80
1303562,死囚越狱 Un Condamné à mort s'est échappé,4,81
1293749,生活多美好 It's a Wonderful Life,4,82
1295134,双虎屠龙 The Man Who Shot Liberty Valance,4,83
1293234,第七封印 Det sjunde inseglet,4,84
1303573,山椒大夫,4,85
1292225,闪灵 The Shining,4,86
1300955,同流者 Il conformista,4,87
1303559,扒手 Pickpocket,4,88
1299214,伟大的安巴逊 The Magnificent Ambersons,4,89
1298697,蓝丝绒 Blue Velvet,4,90
1294941,大白鲨 Jaws,4,91
1293037,纳什维尔 Nashville,4,92
1298817,淘金记 The Gold Rush,4,93
1420116,葛楚 Gertrud,4,94
1306626,堤 La jetée,4,95
1401901,日月无光 Sans soleil,4,96
1294565,五至七时的克莱奥 Cléo de 5 à 7,4,97
1303418,你逃我也逃 To Be or Not to Be,4,98
1292338,祖与占 Jules et Jim,4,99
1437390,午后的迷惘 Meshes of the Afternoon,4,100
1295252,母亲与娼妓 La Maman et la Putain,5,101
1422088,撒旦探戈 Sátántangó,5,102
1303408,福尔摩斯二世 Sherlock Jr.,5,103
1301122,伯爵夫人的耳环 Madame de...,5,104
1292233,发条橙 A Clockwork Orange,5,105
1293847,生之欲 生きる,5,106
1294092,恐惧吞噬灵魂 Angst essen Seele auf,5,107
1306002,"阿基尔，上帝的愤怒 Aguirre, der Zorn Gottes",5,108
1296987,安妮·霍尔 Annie Hall,5,109
1422186,自己去看 Иди и смотри,5,110
1400240,去年在马里昂巴德 L'année dernière à Marienbad,5,111
1401900,蜂巢幽灵 El espíritu de la colmena,5,112
1292262,美国往事 Once Upon a Time in America,5,113
1301923,贪婪 Greed,5,114
1293818,钢琴课 The Piano,5,115
1292329,牯岭街少年杀人事件 牯嶺街少年殺人事件,5,116
1292625,绿野仙踪 The Wizard of Oz,5,117
1292434,一一,5,118
1302294,威尼斯疑魂 Don't Look Now,5,119
1302050,广岛之恋 Hiroshima mon amour,5,120
1299204,红菱艳 The Red Shoes,5,121
1310176,放大 Blow-Up,5,122
1297657,育婴奇谭 Bringing Up Baby,5,123
1293105,蚀 L'eclisse,5,124
1295287,党同伐异 Intolerance: Love's Struggle Throughout the Ages,5,125
